,Orgin,Destination,Trip Duration
0,1,2,7.94
1,1,3,11.88
2,1,4,18.14
3,1,5,22.58
4,1,6,11.74
5,1,7,13.46
6,1,8,22.05
7,1,9,19.0
8,1,10,21.08
9,1,11,30.15
10,1,12,23.88
11,1,13,28.32
12,1,14,32.52
13,1,15,56.24
14,1,16,35.33
15,1,17,57.35
16,1,18,46.46
17,1,19,29.28
18,1,20,26.11
19,1,21,11.55
20,1,22,11.98
21,1,23,18.82
22,1,24,18.47
23,1,25,26.91
24,1,26,34.66
25,1,27,30.49
26,1,28,63.83
27,1,29,34.55
28,1,30,24.99
29,1,31,30.38
30,1,32,41.95
31,1,33,104.37
32,1,34,31.74
33,1,35,28.22
34,1,36,27.11
35,1,37,18.0
36,1,38,31.99
37,1,39,17.22
38,1,40,16.56
39,1,41,23.68
40,1,42,17.58
41,1,43,21.69
42,1,44,22.66
43,1,45,23.79
44,1,46,32.23
45,1,47,43.61
46,1,48,44.21
47,1,49,44.21
48,1,50,68.72
49,1,51,45.36
50,1,52,56.63
51,1,53,62.25
52,1,54,75.04
53,1,55,51.34
54,1,56,45.34
55,1,57,40.6
56,1,58,23.93
57,1,59,16.39
58,1,60,34.48
59,1,61,32.19
60,1,62,25.65
61,1,63,37.96
62,1,64,30.64
63,2,3,11.07
64,2,4,17.75
65,2,5,10.05
66,2,6,10.05
67,2,7,10.51
68,2,8,19.1
69,2,9,16.06
70,2,10,20.92
71,2,11,31.03
72,2,12,21.22
73,2,13,25.66
74,2,14,31.77
75,2,15,55.49
76,2,16,32.66
77,2,17,54.68
78,2,18,43.79
79,2,19,26.61
80,2,20,23.17
81,2,21,10.03
82,2,22,13.89
83,2,23,20.73
84,2,24,17.05
85,2,25,28.4
86,2,26,33.18
87,2,27,29.01
88,2,28,62.48
89,2,29,31.61
90,2,30,22.05
91,2,31,27.52
92,2,32,39.1
93,2,33,55.0
94,2,34,28.88
95,2,35,25.27
96,2,36,25.39
97,2,37,16.28
98,2,38,29.14
99,2,39,15.51
100,2,40,14.84
101,2,41,21.96
102,2,42,15.86
103,2,43,19.97
104,2,44,20.94
105,2,45,22.07
106,2,46,30.51
107,2,47,41.9
108,2,48,34.06
109,2,49,42.49
110,2,50,67.0
111,2,51,43.64
112,2,52,54.91
113,2,53,60.53
114,2,54,73.32
115,2,55,49.99
116,2,56,47.63
117,2,57,42.88
118,2,58,26.21
119,2,59,18.67
120,2,60,35.37
121,2,61,34.47
122,2,62,26.53
123,2,63,38.85
124,2,64,31.52
125,3,4,22.37
126,3,5,25.08
127,3,6,13.43
128,3,7,15.75
129,3,8,24.34
130,3,9,21.58
131,3,10,25.3
132,3,11,34.37
133,3,12,26.74
134,3,13,31.18
135,3,14,36.75
136,3,15,60.46
137,3,16,38.18
138,3,17,60.21
139,3,18,49.31
140,3,19,32.13
141,3,20,28.69
142,3,21,10.33
143,3,22,12.45
144,3,23,19.29
145,3,24,17.11
146,3,25,27.38
147,3,26,33.3
148,3,27,29.14
149,3,28,62.39
150,3,29,37.13
151,3,30,27.57
