Label	A1	A2	A3

0	9.89861	9.89861	0.0380701
1	13.6988	13.6988	0.0715829
2	11.9457	11.9457	0.0582279
3	1.22005	1.22005	0.0375788
4	2.39809	2.39809	0.0390542
5	7.14071	7.14071	0.0596928
6	2.17726	2.17726	0.0544846
7	1.35418	1.35418	0.042358
8	15.9075	15.9075	0.0539948
9	7.237	7.237	0.0407349
10	2.24969	2.24969	0.0192114
11	1.44715	1.44715	0.0358134
12	0.939994	0.939994	0.0280605
13	1.60365	1.60365	0.0314738
14	0.900418	0.900418	0.0173683
15	6.33908	6.33908	0.092188
16	1.55465	1.55465	0.138703
17	1.96243	1.96243	0.021408
18	1.91218	1.91218	0.0341893
19	18.2935	18.2935	0.0370804
20	1.94287	1.94287	0.0627595
21	5.38067	5.38067	0.0586049
22	1.39201	1.39201	0.0413003
23	1.90845	1.90845	0.0402691
24	1.38844	1.38844	0.029971
25	1.36234	1.36234	0.0648154
26	0.696662	0.696662	0.0331628
27	1.28628	1.28628	0.0147043
28	0.817234	0.817234	0.0288967
29	5.77896	5.77896	0.0405854
30	0.758614	0.758614	0.0276561
31	1.86397	1.86397	0.0237641
32	1.01836	1.01836	0.0145568
33	2.02036	2.02036	0.0317717
34	2.42018	2.42018	0.0280901
35	22.0233	22.0233	0.0352971
36	11.2994	11.2994	0.041878
37	0.851732	0.851732	0.0305063
38	6.81808	6.81808	0.0477463
39	4.28095	4.28095	0.0492981
40	5.54572	5.54572	0.0362384
41	6.97561	6.97561	0.0479171
42	3.37812	3.37812	0.0470319
43	2.29529	2.29529	0.0372898
44	3.25167	3.25167	0.0413501
45	3.23256	3.23256	0.0321102
46	1.12438	1.12438	0.0215129
47	0.537979	0.537979	0.0258729
48	2.49011	2.49011	0.0248338
49	9.23751	9.23751	0.010842
50	80.0713	80.0713	0.0209854
51	0.855022	0.855022	0.0148107
52	21.2763	21.2763	0.0138352
53	2.63053	2.63053	0.0149068
54	1.10107	1.10107	0.0184431
55	4.22395	4.22395	0.0180775
56	1.25287	1.25287	0.0153104
57	1.25036	1.25036	0.0263236
58	2.64652	2.64652	0.0345708
59	1.85813	1.85813	0.022407
60	0.660587	0.660587	0.021618
61	2.27591	2.27591	0.0349658
62	1.01038	1.01038	0.0220522
63	5.73521	5.73521	0.0276913
