Label	A1	A2	A3

0	9.8986	0	0.0480606
1	13.6986	0	0.0770793
2	11.9457	0	0.0640637
3	1.22	0	0.0417322
4	2.39794	0	0.0501597
5	7.14071	0	0.064668
6	2.17726	0	0.0607854
7	1.35418	0	0.0490145
8	15.9075	0	0.0736865
9	7.23697	0	0.0437322
10	2.24969	0	0.0276232
11	1.44715	0	0.0391355
12	0.939992	0	0.0329713
13	1.60364	0	0.0386267
14	0.900418	0	0.019941
15	6.33648	0	0.105436
16	1.55465	0	0.108435
17	1.96243	0	0.0268771
18	1.91218	0	0.0394521
19	18.2935	0	0.0437199
20	1.94286	0	0.0679974
21	5.38067	0	0.0641062
22	1.39201	0	0.0467084
23	1.90845	0	0.0455832
24	1.38844	0	0.0343505
25	1.36233	0	0.0834716
26	0.696662	0	0.0456857
27	1.28628	0	0.0162683
28	0.817233	0	0.0332878
29	5.77894	0	0.0453071
30	0.758614	0	0.0322518
31	1.86397	0	0.0286172
32	1.01836	0	0.0192376
33	2.02036	0	0.0358719
34	2.42018	0	0.0323881
35	22.0233	0	0.0406589
36	11.2994	0	0.0450338
37	0.851732	0	0.0349971
38	6.81805	0	0.0548958
39	4.28095	0	0.0542492
40	5.54567	0	0.0420345
41	6.97556	0	0.0535166
42	3.37812	0	0.0585203
43	2.29529	0	0.0406639
44	3.25166	0	0.0498554
45	3.23253	0	0.0404513
46	1.12437	0	0.0258094
47	0.537969	0	0.0308816
48	2.49004	0	0.0295992
49	9.2375	0	0.0164664
50	80.0712	0	0.0247577
51	0.855022	0	0.0181221
52	21.2763	0	0.0207451
53	2.63053	0	0.0201588
54	1.10107	0	0.0197963
55	4.22394	0	0.0232696
56	1.25287	0	0.0232298
57	1.25036	0	0.0328261
58	2.64652	0	0.0408196
59	1.85813	0	0.0272694
60	0.660587	0	0.0266663
61	2.27591	0	0.0395494
62	1.01038	0	0.024995
63	5.7352	0	0.030257
