Label	A1	A2	A3

0	877.903	10349.4	0.0810654
1	4939.39	39879.4	0.116635
2	1230.92	14149.9	0.0905659
3	1158.18	20870.2	0.0691865
4	1230.57	16269.7	0.0845138
5	1829.5	20496.3	0.10537
6	1665.41	19988.9	0.0879175
7	413.823	6266.93	0.0691805
8	543.147	4569.4	0.148589
9	401.391	7456.71	0.0590094
10	400.749	11387.4	0.0377276
11	427.689	8690.96	0.0546692
12	390.383	9426.94	0.047585
13	214.189	4177.05	0.0599249
14	45.963	1874.57	0.0275964
15	4501.16	23180.4	0.189433
16	4617.32	23474.4	0.193415
17	134.515	3811.11	0.0415723
18	503.179	9255.18	0.0552661
19	159.854	2809.1	0.063451
20	1506.79	16105.3	0.0954861
21	1684.37	19867.4	0.089341
22	556.643	9344.79	0.069124
23	728.089	12064.6	0.0682532
24	303.667	7102.67	0.0478751
25	2105.38	12008.1	0.176259
26	387.915	6788.69	0.102921
27	27.8116	1510.81	0.0222431
28	171.947	3965.66	0.049137
29	268.877	4576.91	0.0630736
30	224.019	5467.71	0.0467649
31	193.598	4942.49	0.0412256
32	80.2386	3225.21	0.0279241
33	108.962	2434.09	0.0461662
34	311.546	7456.96	0.043914
35	279.002	5103.89	0.0555415
36	834.685	14019.1	0.0600439
37	461.957	9053.68	0.050939
38	809.502	10423	0.0839845
39	633.301	8808.94	0.0820989
40	484.921	8258.87	0.0613886
41	696.187	9435.53	0.0788202
42	702.848	8004.37	0.0905065
43	367.422	6947.1	0.0564306
44	311.801	4599.36	0.0769214
45	136.865	2457.9	0.0577645
46	84.3687	2582.15	0.0369543
47	150.866	3590.67	0.0483956
48	66.1753	1698.19	0.0415262
49	27.2069	1340.69	0.0223507
50	66.7909	2173.2	0.0313446
51	63.8398	2960.94	0.0258551
52	56.6287	1797.16	0.0353517
53	43.2692	1429.26	0.0305515
54	84.7989	3643.04	0.0240515
55	294.509	9657.7	0.0311606
56	376.494	12175.2	0.0329754
57	933.646	20731.4	0.0457939
58	1849.94	30780.2	0.0580804
59	463.951	13488.5	0.0368207
60	494.898	14178.4	0.0358962
61	876.317	16361.7	0.0543808
62	142.929	5027.64	0.0350912
63	191.682	5571.68	0.0396523
