Label	A1	A2	A3

0	636.152	9597.76	0.0620374
1	1974.01	19057.1	0.0782414
2	1370.67	18634	0.0616668
3	876.276	17207.7	0.0476139
4	804.781	17590.5	0.0440049
5	1371.2	18376.3	0.0642501
6	1196.44	17975.3	0.0578135
7	757.442	16823.7	0.0431694
8	898.236	17037.2	0.0523173
9	810.681	17642.8	0.042042
10	571.661	17799.9	0.0301611
11	716.774	17178.7	0.0397059
12	594.357	16839.3	0.0346025
13	521.742	16786	0.0308889
14	295.639	16625.8	0.0176545
15	1709.85	17864.9	0.0791524
16	2617.7	19679.6	0.112697
17	352.127	16072.9	0.0223134
18	574.177	16463.2	0.0346362
19	631.522	16456.1	0.037443
20	1397.82	18304.3	0.0654664
21	1349.91	18703.6	0.0602462
22	877.947	18272.9	0.0432944
23	886.28	17765	0.0462282
24	619.504	17857.2	0.032693
25	829.649	16421.1	0.058341
26	535.325	16797.1	0.0351302
27	256.971	16854.9	0.0149834
28	462.857	15645.5	0.0301598
29	652.858	15895.2	0.041334
30	520.282	15638.5	0.0342798
31	370.757	15141.4	0.0255313
32	161.319	9521.31	0.018272
33	484.949	15564.2	0.0317864
34	565.233	16746.6	0.0327238
35	572.313	16037.5	0.0356671
36	901.885	17691.2	0.0464376
37	497.601	15581.9	0.0329349
38	946.832	17484.5	0.0508425
39	963.016	17212.1	0.0533961
40	677.022	16592	0.0406706
41	911.964	17174.4	0.0505778
42	735.978	16257.8	0.0467922
43	694.186	16632.1	0.040631
44	663.304	16249.2	0.0418627
45	475.008	15636.7	0.0315377
46	348.762	15498.4	0.0232563
47	339.706	13821.4	0.0275389
48	334.801	14657.3	0.024328
49	221.308	15467.5	0.0146185
50	339.914	15753.8	0.0218377
51	274.758	15917.4	0.0174319
52	245.935	15579.9	0.0164639
53	195.738	14798.9	0.0139667
54	317.369	16832.5	0.0185599
55	383.4	17753.4	0.0210223
56	434.379	18138	0.0229119
57	729.783	18703.8	0.034974
58	1017.95	18823.9	0.0455508
59	497.918	17631.8	0.0266302
60	546.463	18417.3	0.0275305
61	674.637	17880.1	0.0348472
62	445.083	17506	0.0241641
63	548.93	17732.6	0.0287383
