Label	A1	A2	A3

0	575.109	9152.72	0.0576743
1	1679.47	16969.8	0.0720445
2	1198.73	16846.3	0.057699
3	779.534	15640.8	0.0442892
4	722.553	16411.9	0.0407418
5	1199.17	16698.1	0.0595231
6	1069.81	16530.1	0.0547864
7	708.999	15957.7	0.0415743
8	832.931	16095.3	0.0491577
9	740.864	16351.7	0.0405121
10	523.512	16492.9	0.0291746
11	667.203	16198.6	0.0382741
12	559.887	16056.1	0.0333098
13	488.375	15983.7	0.0294029
14	280.208	15911.1	0.0171232
15	1134.76	16373.7	0.0559989
16	1340.2	16963.6	0.0609524
17	338.315	15662.4	0.0213607
18	542.848	15817	0.033188
19	598.218	15763.5	0.0362388
20	1231.63	16704.9	0.0610702
21	1177.49	16865	0.0563863
22	780.917	16679.2	0.0409396
23	801.063	16480.2	0.043687
24	560.411	16503.6	0.031116
25	620.026	15968.3	0.041403
26	497.971	16071.9	0.0314505
27	240.974	15982.3	0.014596
28	450.649	15415	0.0291659
29	629.103	15523.2	0.0399192
30	508.961	15470.9	0.0331092
31	366.241	15198.4	0.0245261
32	172.491	11297.4	0.0171856
33	471.285	15351.1	0.0306673
34	529.539	15967.8	0.0315357
35	546.354	15576.9	0.0342976
36	814.926	16418.4	0.0441376
37	483.438	15432	0.0315538
38	857.309	16334	0.047698
39	880.932	16218.6	0.0501793
40	634.39	15935.9	0.0385057
41	835.169	16188.4	0.0476715
42	688.786	15739.3	0.0434875
43	649.831	15920.6	0.0388571
44	624.211	15739.8	0.0392306
45	457.626	15414.4	0.0298796
46	340.094	15384.6	0.022234
47	348.703	14588.1	0.0258932
48	335.648	14943	0.023244
49	217.373	15385.1	0.014121
50	328.261	15463.2	0.0210464
51	265.325	15580.2	0.0168466
52	240.453	15459.3	0.0156058
53	197.023	15085.8	0.0132709
54	296.406	15986.5	0.0178936
55	348.045	16470.1	0.0199778
56	390.703	16672.7	0.021829
57	643.385	16896.4	0.0333031
58	881.969	16797.1	0.0430737
59	454.751	16355	0.025755
60	487.447	16779	0.0263481
61	605.019	16448.9	0.0331552
62	410.987	16279.6	0.0235842
63	501.459	16354.8	0.0279916
