Label	A1	A2	A3

0	6.73944	6.73944	0.0213098
1	9.23729	9.23729	0.0501839
2	8.38075	8.38075	0.0423403
3	0.911559	0.911559	0.0236695
4	2.07315	2.07315	0.0392455
5	4.6047	4.6047	0.0362784
6	1.43287	1.43287	0.0396822
7	0.993928	0.993928	0.0382332
8	10.2093	10.2093	0.0376949
9	4.44739	4.44739	0.0286096
10	1.56937	1.56937	0.00848751
11	1.14606	1.14606	0.0346954
12	0.703011	0.703011	0.0228545
13	1.14874	1.14874	0.0270317
14	0.823511	0.823511	0.0180963
15	2.854	2.854	0.0216469
16	0.689638	0.689638	0.0164946
17	1.62876	1.62876	0.0194519
18	1.32208	1.32208	0.0257739
19	11.5672	11.5672	0.0264015
20	1.17592	1.17592	0.0393277
21	2.90076	2.90076	0.0383024
22	0.928501	0.928501	0.0297782
23	1.13212	1.13212	0.022764
24	1.01939	1.01939	0.0259927
25	0.884382	0.884382	0.0236931
26	0.504137	0.504137	0.0259692
27	1.23689	1.23689	0.0167623
28	0.517232	0.517232	0.0194055
29	3.74947	3.74947	0.0309897
30	0.591138	0.591138	0.0247904
31	1.53062	1.53062	0.0260845
32	0.786105	0.786105	0.0102633
33	1.55499	1.55499	0.0285377
34	1.71239	1.71239	0.0191679
35	15.3708	15.3708	0.0269242
36	7.84189	7.84189	0.029792
37	0.619018	0.619018	0.0290059
38	4.82104	4.82104	0.035908
39	2.30215	2.30215	0.0261213
40	3.11061	3.11061	0.014816
41	4.0369	4.0369	0.0292623
42	1.95243	1.95243	0.0324699
43	1.44581	1.44581	0.024448
44	2.0789	2.0789	0.0311573
45	2.45474	2.45474	0.0312875
46	0.876272	0.876272	0.0185819
47	0.44206	0.44206	0.0255799
48	1.67153	1.67153	0.0208789
49	8.22923	8.22923	0.0207248
50	75.7341	75.7341	0.0253214
51	0.760199	0.760199	0.0153914
52	19.5971	19.5971	0.0174811
53	3.13878	3.13878	0.0198453
54	1.07879	1.07879	0.0217868
55	5.52824	5.52824	0.0438542
56	1.14072	1.14072	0.0280913
57	1.01474	1.01474	0.029695
58	1.85301	1.85301	0.0274584
59	1.67291	1.67291	0.0269862
60	0.589541	0.589541	0.0298735
61	1.97125	1.97125	0.0447987
62	0.889186	0.889186	0.0231407
63	4.50061	4.50061	0.0250617
