Label	A1	A2	A3

0	9.89861	9.89861	0.0431431
1	13.6988	13.6988	0.0660424
2	11.9457	11.9457	0.0547867
3	1.22005	1.22005	0.0385741
4	2.39809	2.39809	0.0383824
5	7.14071	7.14071	0.0552448
6	2.17726	2.17726	0.0520479
7	1.35418	1.35418	0.0407625
8	15.9075	15.9075	0.0489307
9	7.237	7.237	0.0396679
10	2.24969	2.24969	0.0262183
11	1.44715	1.44715	0.0365414
12	0.939994	0.939994	0.0308444
13	1.60365	1.60365	0.0294217
14	0.900418	0.900418	0.0171244
15	6.33908	6.33908	0.0568462
16	1.55465	1.55465	0.064961
17	1.96243	1.96243	0.0213125
18	1.91218	1.91218	0.0328543
19	18.2935	18.2935	0.0358464
20	1.94287	1.94287	0.0581432
21	5.38067	5.38067	0.0543373
22	1.39201	1.39201	0.0396123
23	1.90845	1.90845	0.0406476
24	1.38844	1.38844	0.0301484
25	1.36234	1.36234	0.0407647
26	0.696662	0.696662	0.0303445
27	1.28628	1.28628	0.0145586
28	0.817234	0.817234	0.0286968
29	5.77896	5.77896	0.0393006
30	0.758614	0.758614	0.0304893
31	1.86397	1.86397	0.0242147
32	1.01836	1.01836	0.0166905
33	2.02036	2.02036	0.0304723
34	2.42018	2.42018	0.0300982
35	22.0233	22.0233	0.0338613
36	11.2994	11.2994	0.0417109
37	0.851732	0.851732	0.0305792
38	6.81808	6.81808	0.0455035
39	4.28095	4.28095	0.047214
40	5.54572	5.54572	0.0365626
41	6.97561	6.97561	0.0456055
42	3.37812	3.37812	0.0426232
43	2.29529	2.29529	0.0371459
44	3.25167	3.25167	0.0384018
45	3.23256	3.23256	0.0297821
46	1.12438	1.12438	0.0218748
47	0.537979	0.537979	0.02522
48	2.49011	2.49011	0.0234966
49	9.23751	9.23751	0.014072
50	80.0713	80.0713	0.0209698
51	0.855022	0.855022	0.0162591
52	21.2763	21.2763	0.0157795
53	2.63053	2.63053	0.0136419
54	1.10107	1.10107	0.0178716
55	4.22395	4.22395	0.0200073
56	1.25287	1.25287	0.0205868
57	1.25036	1.25036	0.0305659
58	2.64652	2.64652	0.0382025
59	1.85813	1.85813	0.024997
60	0.660587	0.660587	0.0247766
61	2.27591	2.27591	0.0330007
62	1.01038	1.01038	0.023171
63	5.73521	5.73521	0.0277355
