Label	A1	A2	A3

0	6.73944	0	0.0320849
1	9.23729	0	0.0520591
2	8.38063	0	0.0439363
3	0.911555	0	0.0302398
4	2.07315	0	0.0432593
5	4.6047	0	0.0408388
6	1.43287	0	0.0443518
7	0.993928	0	0.04833
8	10.2093	0	0.0439346
9	4.44739	0	0.0326909
10	1.56936	0	0.0205329
11	1.14606	0	0.0378362
12	0.703011	0	0.0274877
13	1.14873	0	0.0315301
14	0.82351	0	0.0224947
15	2.854	0	0.02653
16	0.689638	0	0.0196029
17	1.62876	0	0.024471
18	1.32208	0	0.0321037
19	11.5672	0	0.0313087
20	1.17592	0	0.0460659
21	2.90076	0	0.0403881
22	0.9285	0	0.0339925
23	1.13212	0	0.0285115
24	1.01939	0	0.0309102
25	0.884381	0	0.0276973
26	0.504136	0	0.0288125
27	1.23689	0	0.020053
28	0.517232	0	0.0235187
29	3.74947	0	0.0375387
30	0.591138	0	0.0292974
31	1.53062	0	0.032697
32	0.786105	0	0.0147873
33	1.55499	0	0.0340172
34	1.71239	0	0.025337
35	15.3708	0	0.0304813
36	7.84189	0	0.033038
37	0.619018	0	0.034761
38	4.82102	0	0.0387093
39	2.30215	0	0.0310251
40	3.1106	0	0.0249337
41	4.0369	0	0.0339893
42	1.95243	0	0.0353303
43	1.44581	0	0.0286046
44	2.07889	0	0.0362268
45	2.45474	0	0.0371699
46	0.876272	0	0.0223433
47	0.44206	0	0.0298287
48	1.67153	0	0.0251459
49	8.22923	0	0.0232468
50	75.7341	0	0.0301326
51	0.760199	0	0.0186636
52	19.5971	0	0.0248921
53	3.13878	0	0.0263896
54	1.07879	0	0.0250561
55	5.52824	0	0.0642847
56	1.14071	0	0.0310071
57	1.01474	0	0.0355678
58	1.85301	0	0.0326356
59	1.67291	0	0.0316388
60	0.589541	0	0.0315868
61	1.97125	0	0.0567568
62	0.889186	0	0.0264804
63	4.50061	0	0.0292907
