Label	A1	A2	A3

0	607.367	10795.7	0.0534032
1	2290.65	28117	0.0790877
2	862.966	14732.3	0.0616194
3	940.779	20739.6	0.0457832
4	943.787	14552.8	0.0669353
5	944.889	16295.8	0.0631355
6	747.802	12060.4	0.0701336
7	475.665	6194.79	0.0826752
8	343.092	5859.66	0.0674151
9	1080.86	22983.3	0.0464863
10	353.942	12703.6	0.0291924
11	898.928	16193.1	0.0580759
12	544.728	14709.6	0.0418249
13	440.003	9281.52	0.0481481
14	62.0371	2151.74	0.0369614
15	377.793	9104.02	0.0422859
16	103.084	4152.96	0.0316459
17	127.412	3852.6	0.0387559
18	322.23	6732.9	0.0509662
19	259.185	6116.4	0.0435208
20	1046.68	14626.6	0.0761619
21	526.191	9588.21	0.061453
22	401.257	9443.6	0.0539892
23	348.932	9645.46	0.0455811
24	282.918	7079.79	0.0516562
25	219.121	5849.54	0.0412433
26	249.63	6239.52	0.0451318
27	34.5062	1389.17	0.0306916
28	331.733	9580.23	0.0347708
29	573.238	10091.7	0.0582917
30	266.37	6940.46	0.0489313
31	267.057	5128.59	0.0560577
32	197.768	9913.03	0.020246
33	189.557	4118.32	0.0478597
34	234.257	6774.9	0.0365624
35	389.548	9642.94	0.0405357
36	582.73	12549.4	0.0471331
37	586.519	9235.13	0.0631674
38	801.272	14760.3	0.0561751
39	339.276	7960.1	0.0497218
40	341.707	9477.02	0.0387086
41	453.595	9014.64	0.0543843
42	430.087	8188.68	0.0545803
43	277.98	7128.63	0.0437554
44	232.236	4488.27	0.0638213
45	128.003	2390.49	0.0558875
46	102.758	3566.69	0.0361045
47	193.611	4901.2	0.0565675
48	61.0631	1700.35	0.0413396
49	69.0434	2039.86	0.0385438
50	88.0781	2138.54	0.0429217
51	68.9571	3073.05	0.0317164
52	75.7254	1785.22	0.0492235
53	110.329	3105.1	0.0356424
54	68.2583	2110.86	0.0339484
55	336.061	3788.31	0.167282
56	387.121	8365.73	0.0554908
57	1045.15	18159.2	0.0623883
58	577.344	12076.9	0.0548935
59	741.4	15129	0.0489685
60	381.71	8560.25	0.0533036
61	667.4	9559.45	0.130997
62	150.227	4748.32	0.0412042
63	205.771	5747.81	0.0426747
