Label	A1	A2	A3

0	477.648	10145.3	0.0432623
1	1497.05	20989.7	0.0563396
2	1005.27	19628	0.0446249
3	806.085	19086.4	0.0368817
4	1020.25	21343	0.0434279
5	938.324	19398.3	0.0438193
6	875.202	19403	0.0423665
7	660.366	18456	0.0367894
8	611.093	17031.2	0.0374299
9	568.178	17948	0.0307177
10	439.304	18803.3	0.0227232
11	672.335	17683.6	0.0379606
12	676.163	21109.5	0.0301039
13	417.583	17310.4	0.025604
14	327.19	18363.8	0.0179879
15	355.084	16452.9	0.023567
16	249.274	15629.2	0.0171932
17	310.669	16302.2	0.0201616
18	430.603	16967	0.0268827
19	438.659	16852.5	0.0270781
20	805.111	18578.6	0.0418024
21	982.696	22554.1	0.0412537
22	674.102	20262.3	0.0312375
23	517.23	18034.6	0.0296069
24	521.795	19341.4	0.0277386
25	385.947	16316.5	0.0253039
26	369.906	15680.9	0.0270616
27	240.979	15970.2	0.0160738
28	322.323	15818.6	0.0215213
29	502.256	16665.2	0.0324006
30	426.748	15634.1	0.0305644
31	334.298	14577.4	0.0270099
32	196.068	14321.9	0.0145705
33	458.779	17164.5	0.0277449
34	407.916	16734.8	0.0253545
35	426.703	16373	0.0273571
36	651.803	18182.3	0.0343137
37	376.806	13842.3	0.0315615
38	839.12	19571	0.0388379
39	556.17	17653.7	0.0325298
40	436.871	17533.6	0.0254967
41	549.651	17543.8	0.0326049
42	512.162	17527.6	0.031514
43	488.195	17484.9	0.0286521
44	423.25	15822.4	0.0305473
45	340.122	14393.8	0.0282174
46	301.937	16338.8	0.0197017
47	384.532	16820.2	0.025591
48	241.883	14683.3	0.019772
49	175.667	12312.4	0.0192382
50	379.741	16965.5	0.0237812
51	255.394	16216.9	0.0168768
52	235.643	15418.1	0.0179576
53	255.871	15302.3	0.0185912
54	328.213	16924.7	0.0206866
55	521.509	17364	0.0361969
56	433.584	16340.1	0.0311089
57	776.205	20335.8	0.0381807
58	635.398	18103.5	0.0364847
59	503.577	17702.7	0.0289398
60	526.4	18403.9	0.0310451
61	604.863	17571.1	0.0381779
62	429.273	18019	0.0239126
63	607.19	21386.6	0.0262069
