Label	A1	A2	A3

0	416.261	9416.34	0.0396718
1	1209.43	17924.1	0.0503163
2	861.856	17418.9	0.0413632
3	677.458	16606.4	0.0340643
4	841.655	18437.9	0.0384183
5	797.479	17315.6	0.0396982
6	751.37	17413.8	0.0382291
7	585.633	16987.5	0.0328483
8	551.877	16318.9	0.0334429
9	488.746	16837.5	0.0273284
10	390.043	17197.4	0.0211811
11	588.482	16750.6	0.0336606
12	566.961	18376.1	0.0271348
13	377.998	16602.8	0.0225948
14	292.701	16993.8	0.0164794
15	330.128	16232.7	0.0207038
16	238.377	15724.5	0.0154106
17	294.576	16010.4	0.0184513
18	397.429	16333.7	0.0242199
19	403.948	16268.1	0.0245881
20	704.263	17000.1	0.0378706
21	804.283	19469.2	0.0356783
22	572.26	17798.2	0.0284068
23	470.213	16907.2	0.02692
24	454.816	17566.2	0.0244859
25	361.924	16029.9	0.022832
26	355.339	15929.6	0.0236568
27	232.605	15921.9	0.0147169
28	304.4	15771.3	0.019547
29	457.958	16260.4	0.0285524
30	412.589	15724.6	0.0276136
31	313.143	15254.5	0.0223399
32	193.673	15042.5	0.0132823
33	419.348	16365.7	0.0251493
34	384.79	16293.3	0.0235046
35	403.364	16039.7	0.0252442
36	580.602	16834.4	0.0318452
37	344.495	14778.1	0.0258533
38	711.593	17435.2	0.0353424
39	495.737	16638.1	0.0289542
40	391.585	16603.3	0.0229144
41	495.198	16632.3	0.0291584
42	455.397	16675.7	0.0272183
43	443.692	16606.5	0.02603
44	400.91	15861.6	0.0267209
45	337.694	15174.9	0.0245889
46	289.48	16124.6	0.0180779
47	360.43	16359	0.0224918
48	245.842	15601	0.0169581
49	186.896	14756.6	0.0145771
50	353.088	16392.6	0.0214647
51	248.012	16051.9	0.0155508
52	233.33	15827	0.0154136
53	253.044	15672.7	0.0167254
54	307.916	16474.1	0.0186785
55	467.155	16668.6	0.0296544
56	371.135	16467.6	0.0240509
57	619.626	18054.8	0.0313738
58	563.723	16849.9	0.0323143
59	440.297	16749.9	0.0254461
60	462.988	17328.3	0.0264862
61	530.553	16718.4	0.0321822
62	389.993	16873.2	0.0221366
63	503.428	18379.5	0.0238701
