Label	A1	A2	A3

0	379231	10251.2	0.069497
1	2.92752e+06	23903.6	0.0910178
2	1.91162e+06	22595.5	0.0685752
3	4.49463e+06	19708.8	0.0620282
4	2.91648e+06	19509.6	0.0524078
5	2.91507e+06	21743.7	0.07528
6	8.70855e+06	21179.5	0.0628439
7	6.56274e+06	18064.3	0.0454457
8	784326	18232.9	0.0577101
9	1.24931e+06	19830.8	0.044334
10	494414	20181.9	0.0319886
11	4.09666e+06	18342.7	0.0418974
12	3.25882e+06	16975.1	0.0374448
13	2.43609e+06	16394.1	0.0352886
14	1.41479e+06	15685.4	0.0192369
15	5.76747e+06	21173.9	0.150958
16	2.47637e+07	23479.7	0.192694
17	790275	14299.9	0.0260116
18	2.4596e+06	16477.9	0.0377584
19	343377	17319.5	0.0390388
20	1.2834e+07	21491.3	0.0732037
21	4.3129e+06	22514.1	0.0674303
22	7.07757e+06	21168.5	0.0478721
23	4.30557e+06	19945.7	0.050696
24	3.20272e+06	19770	0.0359052
25	8.33941e+06	14682.5	0.128994
26	5.24674e+06	16529	0.0475269
27	831009	17562.5	0.0157053
28	3.93389e+06	15218.3	0.0316813
29	1.15794e+06	15942.3	0.0429499
30	3.4676e+06	14998.3	0.0359107
31	976851	14123.6	0.0271764
32	439220	7718.39	0.0200456
33	1.93862e+06	15291.6	0.0335589
34	1.28042e+06	18132.4	0.0346002
35	234469	16464.3	0.0378844
36	832628	20514.6	0.0500771
37	3.95506e+06	14980	0.0351918
38	1.6742e+06	19531.6	0.056549
39	2.70283e+06	18597.3	0.0598243
40	886718	17105	0.0448348
41	1.61618e+06	18770.9	0.0556032
42	2.49266e+06	16152.8	0.0545964
43	2.72825e+06	17757.4	0.0434268
44	2.06387e+06	16354.4	0.0473802
45	1.15338e+06	15072.2	0.0349774
46	1.49439e+06	14647.2	0.0251818
47	3.10891e+06	10674	0.0318045
48	707923	12824.7	0.0266906
49	40908.2	14344.6	0.0156276
50	14135.7	15210.5	0.0235089
51	1.10039e+06	14967.3	0.0192717
52	20338.7	15112.1	0.0174308
53	249487	13390.7	0.0148738
54	1.41483e+06	16879	0.019978
55	232346	16637.1	0.025351
56	719840	17993.3	0.0273332
57	2.55589e+06	21961.9	0.0392457
58	2.5942e+06	23241.9	0.0506499
59	1.13402e+06	19120.7	0.0295337
60	3.98893e+06	20233.8	0.0307574
61	2.79509e+06	19648.8	0.0405066
62	2.50116e+06	18652.3	0.0257319
63	680349	20100.1	0.030063
