ZONE,NAME,avg_inc_HH
1,Centro,3000
2,Centro,3000
3,Centro,3000
4,Sao Pedro,1310
5,Monte Castelo,1600
6,Cabral,4800
7,Cristo Rei,2400
8,Cidade Nova,1850
9,Redenção,800
10,Santa Luzia,1020
11,Distrito Industrial,800
12,Lourival Parente,1530
13,Promorar,1040
14,Areias,734
15,Angelim,800
16,Santo Antonio,835.5
17,Esplanada,1000
18,Alegria,510
19,Bela Vista,1367.5
20,Catarina,950
21,Marques de Paranagua,2550
22,Piraja,1663
23,São Joaquim,1020
24,Real Copagri,1200
25,Mafrense,1020
26,Embrapa,1153
27,Mocambinho ,1600
28,Santa Maria da Codipi,644
29,Extrema,1020
30,Beira Rio,700
31,Itararé,1260
32,Parque Poti,910
33,Bom Princípio,970
34,Gurupi,800
35,São Joao,2115
36,Recanto das Palmeiras,4000
37,Noivos,3980
38,Renascença,1200
39,Fatima,6000
40,Fatima,10000
41,Ininga,6000
42,São Cristóvao,6005
43,Planalto,1650
44,Santa Isabel,4000
45,Piçarreira,1220
46,Santa Lia,1160
47,Vale quem tem,1140
48,Satélite,1020
49,Verde Lar,644
50,Morros,1132.5
51,Zoobotanico,2720
52,Tabajaras,610
53,Socopo,1020
54,Aroeiras,700
55,Cidade Industrial,590
56,Timon,510
57,Timon,510
58,Timon,510
59,Timon,1020
60,Timon,730
61,Timon,1020
62,Timon,510
63,Timon,510
64,Timon,510
