Origin	Destination	Trip Duration
1	2	7.94
1	3	11.88
1	4	18.14
1	5	22.58
1	6	11.74
1	7	13.46
1	8	22.05
1	9	19.0
1	10	21.08
1	11	30.15
1	12	23.88
1	13	28.32
1	14	32.52
1	15	56.24
1	16	35.33
1	17	57.35
1	18	46.46
1	19	29.28
1	20	26.11
1	21	11.55
1	22	11.98
1	23	18.82
1	24	18.47
1	25	26.91
1	26	34.66
1	27	30.49
1	28	63.83
1	29	34.55
1	30	24.99
1	31	30.38
1	32	41.95
1	33	104.37
1	34	31.74
1	35	28.22
1	36	27.11
1	37	18.0
1	38	31.99
1	39	17.22
1	40	16.56
1	41	23.68
1	42	17.58
1	43	21.69
1	44	22.66
1	45	23.79
1	46	32.23
1	47	43.61
1	48	44.21
1	49	44.21
1	50	68.72
1	51	45.36
1	52	56.63
1	53	62.25
1	54	75.04
1	55	51.34
1	56	45.34
1	57	40.6
1	58	23.93
1	59	16.39
1	60	34.48
1	61	32.19
1	62	25.65
1	63	37.96
1	64	30.64
2	3	11.07
2	4	17.75
2	5	10.05
2	6	10.05
2	7	10.51
2	8	19.1
2	9	16.06
2	10	20.92
2	11	31.03
2	12	21.22
2	13	25.66
2	14	31.77
2	15	55.49
2	16	32.66
2	17	54.68
2	18	43.79
2	19	26.61
2	20	23.17
2	21	10.03
2	22	13.89
2	23	20.73
2	24	17.05
2	25	28.4
2	26	33.18
2	27	29.01
2	28	62.48
2	29	31.61
2	30	22.05
2	31	27.52
2	32	39.1
2	33	55.0
2	34	28.88
2	35	25.27
2	36	25.39
2	37	16.28
2	38	29.14
2	39	15.51
2	40	14.84
2	41	21.96
2	42	15.86
2	43	19.97
2	44	20.94
2	45	22.07
2	46	30.51
2	47	41.9
2	48	34.06
2	49	42.49
2	50	67.0
2	51	43.64
2	52	54.91
2	53	60.53
2	54	73.32
2	55	49.99
2	56	47.63
2	57	42.88
2	58	26.21
2	59	18.67
2	60	35.37
2	61	34.47
2	62	26.53
2	63	38.85
2	64	31.52
3	4	22.37
3	5	25.08
3	6	13.43
3	7	15.75
3	8	24.34
3	9	21.58
3	10	25.3
3	11	34.37
3	12	26.74
3	13	31.18
3	14	36.75
3	15	60.46
3	16	38.18
3	17	60.21
3	18	49.31
3	19	32.13
3	20	28.69
3	21	10.33
3	22	12.45
3	23	19.29
3	24	17.11
3	25	27.38
3	26	33.3
3	27	29.14
3	28	62.39
3	29	37.13
3	30	27.57
3	31	32.07
3	32	43.65
3	33	59.55
3	34	33.43
3	35	30.51
3	36	28.81
3	37	19.7
3	38	33.69
3	39	18.9
3	40	18.25
3	41	22.53
3	42	19.27
3	43	23.37
3	44	24.36
3	45	25.47
3	46	33.91
3	47	45.3
3	48	37.47
3	49	45.89
3	50	70.41
3	51	47.04
3	52	58.32
3	53	63.93
3	54	75.65
3	55	49.9
3	56	45.83
3	57	41.09
3	58	24.42
3	59	16.88
3	60	36.09
3	61	32.68
3	62	27.25
3	63	42.19
3	64	34.86
4	5	24.59
4	6	22.66
4	7	21.68
4	8	20.01
4	9	16.49
4	10	18.99
4	11	29.3
4	12	21.2
4	13	25.64
4	14	29.84
4	15	53.56
4	16	5.0
4	17	5.0
4	18	43.77
4	19	26.59
4	20	23.46
4	21	22.48
4	22	22.47
4	23	29.31
4	24	29.39
4	25	37.4
4	26	45.58
4	27	41.41
4	28	74.62
4	29	31.91
4	30	22.34
4	31	29.0
4	32	41.54
4	33	57.44
4	34	36.75
4	35	37.43
4	36	34.87
4	37	28.92
4	38	33.74
4	39	28.14
4	40	27.49
4	41	34.6
4	42	28.5
4	43	32.61
4	44	33.58
4	45	34.71
4	46	43.15
4	47	54.54
4	48	46.7
4	49	55.13
4	50	79.64
4	51	56.28
4	52	67.55
4	53	73.17
4	54	85.96
4	55	62.13
4	56	55.83
4	57	51.09
4	58	34.42
4	59	26.88
4	60	40.95
4	61	42.68
4	62	34.73
4	63	39.2
4	64	31.88
5	6	23.51
5	7	18.29
5	8	18.87
5	9	18.6
5	10	24.83
5	11	35.13
5	12	25.13
5	13	29.57
5	14	35.68
5	15	59.39
5	16	36.57
5	17	58.59
5	18	47.7
5	19	30.36
5	20	26.74
5	21	24.04
5	22	27.9
5	23	34.74
5	24	31.06
5	25	42.41
5	26	47.19
5	27	43.02
5	28	76.49
5	29	34.36
5	30	24.97
5	31	29.4
5	32	41.94
5	33	57.85
5	34	37.16
5	35	34.12
5	36	35.28
5	37	29.72
5	38	34.15
5	39	28.95
5	40	28.29
5	41	35.4
5	42	29.31
5	43	33.41
5	44	32.64
5	45	35.51
5	46	43.15
5	47	54.54
5	48	47.5
5	49	55.13
5	50	80.44
5	51	57.08
5	52	68.35
5	53	73.97
5	54	86.76
5	55	64.0
5	56	62.27
5	57	57.52
5	58	40.85
5	59	33.32
5	60	46.83
5	61	49.12
5	62	41.17
5	63	45.08
5	64	37.75
6	7	13.72
