Origin	Destination	Trip Duration
1	2	12.01
1	3	17.75
1	4	21.94
1	5	20.53
1	6	19.17
1	7	21.07
1	8	28.83
1	9	33.42
1	10	41.68
1	11	44.82
1	12	33.86
1	13	30.75
1	14	46.94
1	15	59.3
1	16	51.26
1	17	71.01
1	18	56.18
1	19	42.52
1	20	42.88
1	21	23.41
1	22	21.44
1	23	27.64
1	24	33.72
1	25	35.6
1	26	43.49
1	27	46.14
1	28	66.56
1	29	55.68
1	30	39.38
1	31	40.44
1	32	53.98
1	33	85.92
1	34	37.69
1	35	41.41
1	36	39.23
1	37	26.77
1	38	53.99
1	39	21.71
1	40	31.36
1	41	40.39
1	42	31.93
1	43	34.89
1	44	35.28
1	45	39.37
1	46	45.18
1	47	54.05
1	48	43.57
1	49	63.3
1	50	82.19
1	51	43.77
1	52	62.74
1	53	65.49
1	54	62.75
1	55	52.21
1	56	38.57
1	57	50.4
1	58	29.73
1	59	28.66
1	60	43.04
1	61	37.73
1	62	35.62
1	63	45.08
1	64	35.41
2	3	16.09
2	4	23.85
2	5	13.44
2	6	14.2
2	7	18.62
2	8	24.83
2	9	26.66
2	10	45.71
2	11	42.65
2	12	28.31
2	13	38.66
2	14	47.84
2	15	58.21
2	16	45.17
2	17	68.92
2	18	48.24
2	19	35.83
2	20	37.97
2	21	11.36
2	22	24.12
2	23	30.38
2	24	32.23
2	25	48.62
2	26	47.07
2	27	37.72
2	28	65.51
2	29	52.27
2	30	35.97
2	31	37.68
2	32	51.21
2	33	75.29
2	34	34.16
2	35	38.64
2	36	38.11
2	37	24.64
2	38	49.22
2	39	20.56
2	40	31.16
2	41	39.97
2	42	30.06
2	43	34.68
2	44	34.36
2	45	39.18
2	46	45.49
2	47	53.01
2	48	44.21
2	49	63.13
2	50	80.83
2	51	41.41
2	52	66.38
2	53	64.13
2	54	63.34
2	55	50.15
2	56	42.33
2	57	53.89
2	58	33.22
2	59	28.64
2	60	45.8
2	61	37.21
2	62	41.43
2	63	48.99
2	64	37.89
3	4	29.82
3	5	26.53
3	6	21.55
3	7	22.7
3	8	31.91
3	9	36.74
3	10	34.24
3	11	66.38
3	12	38.4
3	13	51.23
3	14	59.97
3	15	69.33
3	16	56.25
3	17	79.0
3	18	60.33
