Zone	Population	Employment
1	4562	46657
2	4644	12840
3	4455	5444
4	31469	23926
5	15699	5367
6	7444	11951
7	23539	5508
8	29648	1371
9	2916	1934
10	5391	2109
11	12231	9495
12	25171	5672
13	33337	9081
14	17631	763
15	18667	356
16	6521	1794
17	20781	1001
18	10570	658
19	16723	1433
20	1929	718
21	28867	5340
22	9718	3673
23	27672	3148
24	21111	8570
25	21300	2699
26	23500	2083
27	41446	3086
28	11183	141
29	34686	1661
30	6681	1858
31	41077	9751
32	12746	1341
33	15672	1434
34	14753	479
35	12486	3866
36	1506	788
37	3657	5857
38	35440	3556
39	6495	4775
40	10773	7871
41	6506	5278
42	6367	4918
43	12007	1905
44	16024	4860
45	11334	2170
46	8852	317
47	19086	1199
48	45707	2497
49	9044	433
50	1498	239
51	256	223
52	19217	1405
53	713	348
54	4937	26
55	15833	210
56	4549	803
57	16609	3511
58	24745	9033
59	14654	15461
60	13439	2598
61	37845	4937
62	13949	1294
63	22906	1445
64	4783	822
