Origin	Destination	Number_Of_Trips
1	35	229.6
1	43	233.1
4	1	310.9
4	2	273.5
4	17	254.1
5	1	310.9
6	7	315.6
7	1	1100.2
7	2	315.6
7	4	512.0
7	43	582.5
7	48	233.1
8	1	257.9
8	2	273.5
8	3	273.5
8	7	254.1
8	14	257.9
8	44	229.6
9	39	369.2
10	4	402.9
11	2	863.8
12	1	842.8
13	4	824.3
13	5	462.6
17	1	405.6
17	8	402.9
17	11	421.4
17	13	402.9
17	14	422.9
17	17	421.4
17	42	346.6
18	1	824.3
18	7	421.4
18	11	402.9
18	12	483.9
19	4	424.3
19	6	421.4
19	7	422.9
19	13	805.8
19	17	421.4
19	40	532.8
21	1	257.9
21	2	254.1
21	39	229.6
21	43	369.2
22	1	394.4
22	2	254.1
22	27	257.9
22	37	369.2
23	1	755.4
23	2	377.7
23	40	468.3
24	1	663.2
24	2	331.6
24	7	709.3
24	8	323.9
24	39	533.4
24	63	237.1
25	6	377.7
25	22	331.6
25	40	582.4
25	55	354.1
26	1	1101.6
26	2	799.6
26	6	346.2
26	7	331.6
26	19	394.3
26	22	377.7
26	26	331.6
27	1	2898.7
27	2	377.7
27	7	331.6
27	9	377.7
27	24	331.6
27	37	533.4
29	1	487.4
29	4	243.7
29	7	194.5
29	42	262.2
30	1	1148.3
30	31	340.1
31	1	243.7
31	2	438.2
31	3	601.3
31	9	243.7
31	31	471.5
31	32	209.3
31	39	943.0
31	40	746.2
31	42	533.5
32	1	389.0
32	4	243.7
32	30	262.2
32	31	498.2
32	39	209.3
32	44	549.4
34	1	194.5
34	6	480.0
34	7	845.0
34	31	397.7
34	35	471.5
34	37	209.3
35	1	849.2
35	2	863.7
35	46	486.8
38	1	1600.1
38	2	194.5
38	4	600.6
38	37	471.5
38	47	704.0
39	1	249.1
40	1	557.5
44	1	244.9
47	5	408.2
47	40	302.9
47	43	308.1
47	44	424.9
47	47	478.7
48	1	462.3
48	39	308.1
48	41	308.1
49	43	308.1
52	1	494.0
52	7	244.9
52	40	302.9
52	44	308.1
52	50	408.2
55	1	881.8
55	2	442.0
55	6	116.0
55	7	58.0
55	21	56.7
55	22	174.0
55	24	56.7
55	25	58.0
55	31	51.0
55	39	114.0
55	55	49.9
55	67	49.9
58	22	188.7
59	1	188.7
60	4	394.7
61	1	2044.0
62	1	1444.7
62	2	377.4
62	6	483.7
62	63	197.8
62	64	232.4
63	1	206.0
63	4	206.0
