Adbl	Asngl	Arad	Aext	A2
0.0376823	0.0414413	0.0810654	0.0480606	198.756
0.0708416	0.0708024	0.11663	0.0770719	279.969
0.0576345	0.0587916	0.0905659	0.0640637	234.235
0.0371949	0.0368831	0.0691854	0.0417318	168.98
0.0386623	0.0412351	0.0845494	0.0501726	165.702
0.05909	0.0579177	0.10537	0.064668	233.959
0.0539355	0.0550502	0.0879175	0.0607854	225.574
0.041933	0.0425121	0.0691805	0.0490145	176.711
0.0534517	0.0513233	0.148589	0.0736863	204.161
0.040322	0.0410328	0.0590094	0.0437319	171.713
0.0190192	0.0257133	0.0377276	0.0276232	121.109
0.0354544	0.0370665	0.0546692	0.0391355	160.327
0.0277808	0.0304181	0.047585	0.0329713	137.925
0.0311561	0.03047	0.0599249	0.0386265	124.44
0.0171949	0.0173355	0.0275964	0.019941	73.9784
0.0912749	0.077041	0.18962	0.105528	181.942
0.137364	0.109704	0.193415	0.108435	142.197
0.0211949	0.0218623	0.0415723	0.0268771	91.2978
0.033847	0.0339107	0.0552661	0.0394521	140.746
0.0367087	0.0370953	0.063451	0.0437199	155.318
0.0621219	0.0625695	0.0954861	0.0679975	246.852
0.0580063	0.0582981	0.089341	0.0641062	230.147
0.0408788	0.0417193	0.069124	0.0467084	169.541
0.0398596	0.0421056	0.0682532	0.0455832	177.33
0.0296654	0.0312839	0.0478751	0.0343505	130.166
0.0641608	0.0561051	0.176259	0.0834716	140.911
0.0328266	0.0332835	0.102921	0.0456857	127.086
0.0145549	0.0148146	0.0222431	0.0162683	63.312
0.0286087	0.0292993	0.049137	0.0332878	124.765
0.0401797	0.0404512	0.0630736	0.0453071	169.935
0.0273826	0.0298504	0.0467649	0.0322518	137.155
0.0235284	0.0247385	0.0412256	0.0286172	104.57
0.0144127	0.0169073	0.0279241	0.0192376	70.2449
0.0314542	0.0315381	0.0461662	0.0358719	131.19
0.0278095	0.0308136	0.043914	0.0323881	133.003
0.0349436	0.0352727	0.0555415	0.0406589	145.982
0.0414561	0.0436092	0.0600439	0.0450338	181.874
0.0302031	0.0311481	0.050939	0.0349971	132.858
0.047261	0.0484162	0.0839845	0.0548954	194.901
0.0488021	0.0494678	0.0820989	0.0542492	202.987
0.0358691	0.0380765	0.0613886	0.042034	158.796
0.0474281	0.048111	0.07882	0.0535155	195.473
0.0465596	0.0457862	0.0905065	0.0585203	178.526
0.0369163	0.0383038	0.0564306	0.0406639	161.883
0.0409297	0.0407352	0.0769214	0.0498547	162.204
0.0317861	0.0313605	0.0577645	0.0404512	125.941
0.0212913	0.0224655	0.0369543	0.0258088	94.4417
0.0256156	0.0260698	0.0483956	0.0308818	108.228
0.0245735	0.0240479	0.0415254	0.0295977	99.1174
0.0107259	0.0143044	0.0223507	0.0164661	60.9011
0.0207751	0.0216823	0.0313446	0.0247576	90.2205
0.0146613	0.0161895	0.0258551	0.0181218	72.3139
0.0136957	0.0160778	0.0353517	0.0207449	66.7659
0.0147576	0.0139259	0.0305515	0.0201588	57.1603
0.0182555	0.0183792	0.0240531	0.0197973	76.7304
0.0178395	0.0204048	0.0311527	0.0232589	84.5625
0.0151017	0.0206812	0.0329755	0.0232298	91.588
0.0260375	0.0306739	0.0457939	0.032826	136.179
0.03421	0.0384888	0.0580804	0.0408196	170.694
0.0221659	0.0252011	0.0368233	0.0272693	109.899
0.021382	0.0248775	0.0358962	0.0266662	110.034
0.0345922	0.0341729	0.0543795	0.0395462	139.723
0.0218223	0.0233198	0.0350671	0.0249884	101.863
0.0274073	0.0283046	0.0396492	0.030254	120.735
