Adbl	Asngl	Arad	Aext	A2
0.021076	0.0250749	0.0534032	0.0320849	135.323
0.0496642	0.0491258	0.0790877	0.0520591	188.812
0.0418273	0.0417508	0.0616194	0.0439365	164.332
0.0234766	0.0261357	0.0457828	0.0302393	126.254
0.0389271	0.0401066	0.0669353	0.0432592	143.247
0.0359372	0.0374772	0.0631355	0.0408388	150.869
0.0393371	0.0392271	0.0701336	0.0443519	148.452
0.0379001	0.0359286	0.0826752	0.04833	129.701
0.0373954	0.0362247	0.0674151	0.0439346	131.032
0.028265	0.0292508	0.0464863	0.0326909	105.528
0.00833667	0.0170212	0.0291924	0.0205329	84.4838
0.0344336	0.0344568	0.0580759	0.0378362	126.97
0.022636	0.0246914	0.0418249	0.0274877	103.153
0.0267383	0.0249771	0.0481481	0.0315302	89.1433
0.0179264	0.0175896	0.0369614	0.0224947	67.6606
0.0214656	0.0220125	0.0422859	0.02653	81.9144
0.0163588	0.0159476	0.0316459	0.0196029	63.0782
0.0192906	0.0195504	0.0387559	0.024471	75.7744
0.0255446	0.0258574	0.0509662	0.0321036	97.3092
0.0262313	0.0265635	0.0435208	0.0313087	98.2093
0.0388859	0.0388233	0.0761619	0.0460659	149.406
0.0379376	0.0385899	0.061453	0.040388	124.072
0.0294483	0.0292919	0.0539892	0.0339925	113.087
0.0225152	0.0246503	0.0455811	0.0285115	105.194
0.0257027	0.0257545	0.0516562	0.0309102	95.5676
0.0234302	0.0237677	0.0412433	0.0276973	91.4739
0.0257047	0.024712	0.0451318	0.0288124	91.9637
0.0165791	0.0158785	0.0306916	0.020053	60.881
0.0193275	0.0201005	0.0347708	0.0235187	78.9644
0.0308076	0.0311089	0.0582917	0.0375385	110.253
0.0247058	0.0249941	0.0489313	0.0292974	106.876
0.0259988	0.0257511	0.0560577	0.032697	85.8686
0.0104798	0.0123741	0.020246	0.0147873	54.2247
0.0283202	0.0274067	0.0478597	0.0340172	100.972
0.0190656	0.0228187	0.0365624	0.025337	94.1061
0.0267349	0.0268269	0.0405357	0.0304813	101.886
0.0295413	0.0311147	0.0471331	0.033038	126.223
0.028909	0.0286128	0.0631674	0.034761	96.558
0.0355089	0.0361064	0.056175	0.0387087	137.814
0.0258316	0.0276891	0.0497218	0.0310251	109.16
0.0146416	0.0218063	0.0387085	0.0249336	89.072
0.0289778	0.0295315	0.0543843	0.0339893	113.129
0.0321195	0.0300771	0.0545803	0.0353303	103.181
0.0242379	0.0255611	0.0437554	0.0286046	101.971
0.0308461	0.0289853	0.0638213	0.0362268	103.707
0.0309335	0.0279621	0.0558875	0.0371699	95.6399
0.0183988	0.0185778	0.0361045	0.0223433	73.6115
0.0253133	0.0236363	0.0565675	0.0298287	88.9316
0.0206651	0.0192272	0.0413396	0.0251459	66.5376
0.0205084	0.0187135	0.0385438	0.0232468	54.2578
0.0250838	0.0235937	0.0429217	0.0301326	85.3342
0.0152702	0.0152928	0.0317164	0.0186636	64.2991
0.0173403	0.0174526	0.0492235	0.0248921	61.4997
0.0196223	0.0185611	0.0356424	0.0263896	68.2049
0.0215494	0.0204806	0.0339484	0.0250561	75.1779
0.0431089	0.0355326	0.167282	0.0642847	110.686
0.0273339	0.027433	0.0554908	0.031007	83.3874
0.0290557	0.0316525	0.0623883	0.0355677	110.518
0.0269454	0.0281077	0.0548935	0.0326356	119.516
0.0265159	0.0270535	0.0489685	0.0316388	98.9537
0.0292098	0.0273708	0.0533036	0.0315868	98.2006
0.0440587	0.0372146	0.130997	0.0567568	121.026
0.0227787	0.0228559	0.0412042	0.0264804	89.6465
0.0247019	0.0256031	0.0426747	0.0292907	94.7466
